word,kept_reading,segmentation_suggested
一千幾百下,jat1 cin1 gei2 baak3 haa5,jat1 cin1 gei2 baak3 haa6
一千幾百啤,jat1 cin1 gei2 baak3 pe1,jat1 cin1 gei2 baak3 pei4
一千幾百幀,jat1 cin1 gei2 baak3 zing1,jat1 cin1 gei2 baak3 zing3
一千幾百打,jat1 cin1 gei2 baak3 daa1,jat1 cin1 gei2 baak3 daa2
一千幾百朵,jat1 cin1 gei2 baak3 doe2,jat1 cin1 gei2 baak3 do2
一千幾百棵,jat1 cin1 gei2 baak3 fo2,jat1 cin1 gei2 baak3 po1
一千幾百泡,jat1 cin1 gei2 baak3 paau1,jat1 cin1 gei2 baak3 pou5
一千幾百疊,jat1 cin1 gei2 baak3 daap6,jat1 cin1 gei2 baak3 dip6
一千幾百疋,jat1 cin1 gei2 baak3 pat1,jat1 cin1 gei2 baak3 ngaa5
一千幾百種,jat1 cin1 gei2 baak3 zung2,jat1 cin1 gei2 baak3 zung3
一千幾百粒,jat1 cin1 gei2 baak3 nap1,jat1 cin1 gei2 baak3 lap1
一千幾百縷,jat1 cin1 gei2 baak3 leoi5,jat1 cin1 gei2 baak3 lau5
一千幾百行,jat1 cin1 gei2 baak3 hong4,jat1 cin1 gei2 baak3 hong6
一千幾百載,jat1 cin1 gei2 baak3 zoi2,jat1 cin1 gei2 baak3 zoi3
一千幾百間,jat1 cin1 gei2 baak3 gaan1,jat1 cin1 gei2 baak3 haan4
一千幾百頂,jat1 cin1 gei2 baak3 deng2,jat1 cin1 gei2 baak3 ding2
一吐為快,jat1 tou3 wai4 faai3,jat1 tou3 wai6 faai3
一命二運三風水,jat1 meng6 ji6 wan6 saam1 fung1 seoi2,jat1 ming6 ji6 wan6 saam1 fung1 seoi2
一啤,jat1 pe1,jat1 pei4
一喲呢個,jat1 jo1 nei1 go3,jat1 jo1 ne1 go3
一夫當關萬夫莫敵,jat1 fu1 dong1 gwaan1 maan6 fu1 mok6 dik6,jat1 fu1 dong3 gwaan1 maan6 fu1 mok6 dik6
一夫當關萬夫莫開,jat1 fu1 dong1 gwaan1 maan6 fu1 mok6 hoi1,jat1 fu1 dong3 gwaan1 maan6 fu1 mok6 hoi1
一定會,jat1 ding6 wui5,jat1 ding6 wui6
一尾,jat1 mei5,jat1 mei2
一幀,jat1 zing1,jat1 zing3
一打,jat1 daa1,jat1 daa2
一揾到,jat1 wan2 dou3,jat1 wan3 dou3
一撚樣,jat1 lan2 joeng2,jat1 nan2 joeng6
一朵,jat1 doe2,jat1 do2
一棵,jat1 fo2,jat1 po1
一次生兩次熟,jat1 ci3 saang1 loeng5 ci3 suk6,jat1 ci3 sang1 loeng5 ci3 suk6
一泡,jat1 paau1,jat1 pou5
一溜煙,jat1 lau6 jin1,jat1 liu1 jin1
一疊,jat1 daap6,jat1 dip6
一疋,jat1 pat1,jat1 ngaa5
一百一十九,jat1 baak3 jat1 sap6 gau2,jat1 baak3 jat1 sap1 gau1
一百七十九,jat1 baak3 cat1 sap6 gau2,jat1 baak3 cat1 sap1 gau1
一百五十二,jat1 baak3 ng5 sap6 ji6,jat1 baak3 m5 sap6 ji6
一百八十九,jat1 baak3 baat3 sap6 gau2,jat1 baak3 baat3 sap1 gau1
一百六十九,jat1 baak3 luk6 sap6 gau2,jat1 baak3 luk6 sap1 gau1
一百四十九,jat1 baak3 sei3 sap6 gau2,jat1 baak3 sei3 sap1 gau1
一百幾十下,jat1 baak3 gei2 sap6 haa5,jat1 baak3 gei2 sap6 haa6
一百幾十啤,jat1 baak3 gei2 sap6 pe1,jat1 baak3 gei2 sap6 pei4
一百幾十幀,jat1 baak3 gei2 sap6 zing1,jat1 baak3 gei2 sap6 zing3
一百幾十打,jat1 baak3 gei2 sap6 daa1,jat1 baak3 gei2 sap6 daa2
一百幾十朵,jat1 baak3 gei2 sap6 doe2,jat1 baak3 gei2 sap6 do2
一百幾十棵,jat1 baak3 gei2 sap6 fo2,jat1 baak3 gei2 sap6 po1
一百幾十泡,jat1 baak3 gei2 sap6 paau1,jat1 baak3 gei2 sap6 pou5
一百幾十疊,jat1 baak3 gei2 sap6 daap6,jat1 baak3 gei2 sap6 dip6
一百幾十疋,jat1 baak3 gei2 sap6 pat1,jat1 baak3 gei2 sap6 ngaa5
一百幾十種,jat1 baak3 gei2 sap6 zung2,jat1 baak3 gei2 sap6 zung3
一百幾十粒,jat1 baak3 gei2 sap6 nap1,jat1 baak3 gei2 sap6 lap1
一百幾十縷,jat1 baak3 gei2 sap6 leoi5,jat1 baak3 gei2 sap6 lau5
一百幾十行,jat1 baak3 gei2 sap6 hong4,jat1 baak3 gei2 sap6 hong6
一百幾十載,jat1 baak3 gei2 sap6 zoi2,jat1 baak3 gei2 sap6 zoi3
一百幾十間,jat1 baak3 gei2 sap6 gaan1,jat1 baak3 gei2 sap6 haan4
一百幾十頂,jat1 baak3 gei2 sap6 deng2,jat1 baak3 gei2 sap6 ding2
一種,jat1 zung2,jat1 zung3
一粒,jat1 nap1,jat1 lap1
一縷,jat1 leoi5,jat1 lau5
一缽湯,jat1 but3 soeng1,jat1 but3 tong1
一萬幾千下,jat1 maan6 gei2 cin1 haa5,jat1 maan6 gei2 cin1 haa6
一萬幾千啤,jat1 maan6 gei2 cin1 pe1,jat1 maan6 gei2 cin1 pei4
一萬幾千幀,jat1 maan6 gei2 cin1 zing1,jat1 maan6 gei2 cin1 zing3
一萬幾千打,jat1 maan6 gei2 cin1 daa1,jat1 maan6 gei2 cin1 daa2
一萬幾千朵,jat1 maan6 gei2 cin1 doe2,jat1 maan6 gei2 cin1 do2
一萬幾千棵,jat1 maan6 gei2 cin1 fo2,jat1 maan6 gei2 cin1 po1
一萬幾千泡,jat1 maan6 gei2 cin1 paau1,jat1 maan6 gei2 cin1 pou5
一萬幾千疊,jat1 maan6 gei2 cin1 daap6,jat1 maan6 gei2 cin1 dip6
一萬幾千疋,jat1 maan6 gei2 cin1 pat1,jat1 maan6 gei2 cin1 ngaa5
一萬幾千種,jat1 maan6 gei2 cin1 zung2,jat1 maan6 gei2 cin1 zung3
一萬幾千粒,jat1 maan6 gei2 cin1 nap1,jat1 maan6 gei2 cin1 lap1
一萬幾千縷,jat1 maan6 gei2 cin1 leoi5,jat1 maan6 gei2 cin1 lau5
一萬幾千行,jat1 maan6 gei2 cin1 hong4,jat1 maan6 gei2 cin1 hong6
一萬幾千載,jat1 maan6 gei2 cin1 zoi2,jat1 maan6 gei2 cin1 zoi3
一萬幾千間,jat1 maan6 gei2 cin1 gaan1,jat1 maan6 gei2 cin1 haan4
一萬幾千頂,jat1 maan6 gei2 cin1 deng2,jat1 maan6 gei2 cin1 ding2
一言為定,jat1 jin4 wai4 ding6,jat1 jin4 wai6 ding6
一言為重,jat1 jin4 wai4 zung6,jat1 jin4 wai6 zung6
一載,jat1 zoi2,jat1 zoi3
一間,jat1 gaan1,jat1 haan4
一頂,jat1 deng2,jat1 ding2
七下,cat1 haa5,cat1 haa6
七八下,cat1 baat3 haa5,cat1 baat3 haa6
七八啤,cat1 baat3 pe1,cat1 baat3 pei4
七八幀,cat1 baat3 zing1,cat1 baat3 zing3
七八打,cat1 baat3 daa1,cat1 baat3 daa2
七八朵,cat1 baat3 doe2,cat1 baat3 do2
七八棵,cat1 baat3 fo2,cat1 baat3 po1
七八泡,cat1 baat3 paau1,cat1 baat3 pou5
七八疊,cat1 baat3 daap6,cat1 baat3 dip6
七八疋,cat1 baat3 pat1,cat1 baat3 ngaa5
七八種,cat1 baat3 zung2,cat1 baat3 zung3
七八粒,cat1 baat3 nap1,cat1 baat3 lap1
七八縷,cat1 baat3 leoi5,cat1 baat3 lau5
七八行,cat1 baat3 hong4,cat1 baat3 hong6
七八載,cat1 baat3 zoi2,cat1 baat3 zoi3
七八間,cat1 baat3 gaan1,cat1 baat3 haan4
七八頂,cat1 baat3 deng2,cat1 baat3 ding2
七十九,cat1 sap6 gau2,cat1 sap1 gau1
七十九萬,cat1 sap6 gau2 maan6,cat1 sap1 gau1 maan6
七啤,cat1 pe1,cat1 pei4
七姊妹道,cat1 zi2 mui2 dou6,cat1 zi2 mui6 dou6
七幀,cat1 zing1,cat1 zing3
七打,cat1 daa1,cat1 daa2
七月落金八月落銀,cat1 jyut6 lok6 gam1 baat3 jyut6 lok6 ngan2,cat1 jyut6 lok6 gam1 baat3 jyut6 lok6 ngan4
七朵,cat1 doe2,cat1 do2
七棵,cat1 fo2,cat1 po1
七泡,cat1 paau1,cat1 pou5
七疊,cat1 daap6,cat1 dip6
七疋,cat1 pat1,cat1 ngaa5
七百一十九,cat1 baak3 jat1 sap6 gau2,cat1 baak3 jat1 sap1 gau1
七百七十九,cat1 baak3 cat1 sap6 gau2,cat1 baak3 cat1 sap1 gau1
七百五十九,cat1 baak3 ng5 sap6 gau2,cat1 baak3 ng5 sap1 gau1
七百五十二,cat1 baak3 ng5 sap6 ji6,cat1 baak3 m5 sap6 ji6
七百八十九,cat1 baak3 baat3 sap6 gau2,cat1 baak3 baat3 sap1 gau1
七百六十九,cat1 baak3 luk6 sap6 gau2,cat1 baak3 luk6 sap1 gau1
七百四十九,cat1 baak3 sei3 sap6 gau2,cat1 baak3 sei3 sap1 gau1
七種,cat1 zung2,cat1 zung3
七粒,cat1 nap1,cat1 lap1
七縷,cat1 leoi5,cat1 lau5
七行,cat1 hong4,cat1 hong6
七載,cat1 zoi2,cat1 zoi3
七間,cat1 gaan1,cat1 haan4
七頂,cat1 deng2,cat1 ding2
三下,saam1 haa5,saam1 haa6
三兩下手勢,saam1 loeng5 haa5 sau2 sai3,saam1 loeng5 haa6 sau2 sai3
三分顏色上大紅,saam1 fan1 ngaan4 sik1 soeng5 daai6 hung4,saam1 fan1 ngaan4 sik1 soeng6 daai6 hung4
三啤,saam1 pe1,saam1 pei4
三四下,saam1 sei3 haa5,saam1 sei3 haa6
三四啤,saam1 sei3 pe1,saam1 sei3 pei4
三四幀,saam1 sei3 zing1,saam1 sei3 zing3
三四打,saam1 sei3 daa1,saam1 sei3 daa2
三四朵,saam1 sei3 doe2,saam1 sei3 do2
三四棵,saam1 sei3 fo2,saam1 sei3 po1
三四泡,saam1 sei3 paau1,saam1 sei3 pou5
三四疊,saam1 sei3 daap6,saam1 sei3 dip6
三四疋,saam1 sei3 pat1,saam1 sei3 ngaa5
三四種,saam1 sei3 zung2,saam1 sei3 zung3
三四粒,saam1 sei3 nap1,saam1 sei3 lap1
三四縷,saam1 sei3 leoi5,saam1 sei3 lau5
三四行,saam1 sei3 hong4,saam1 sei3 hong6
三四載,saam1 sei3 zoi2,saam1 sei3 zoi3
三四間,saam1 sei3 gaan1,saam1 sei3 haan4
三四頂,saam1 sei3 deng2,saam1 sei3 ding2
三幀,saam1 zing1,saam1 zing3
三打,saam1 daa1,saam1 daa2
三朵,saam1 doe2,saam1 do2
三棵,saam1 fo2,saam1 po1
三水同鄉會,saam1 seoi2 tung4 hoeng1 wui2,saam1 seoi2 tung4 hoeng1 wui5
三泡,saam1 paau1,saam1 pou5
三疊,saam1 daap6,saam1 dip6
三疋,saam1 pat1,saam1 ngaa5
三百一十九,saam1 baak3 jat1 sap6 gau2,saam1 baak3 jat1 sap1 gau1
三百七十九,saam1 baak3 cat1 sap6 gau2,saam1 baak3 cat1 sap1 gau1
三百二十九,saam1 baak3 ji6 sap6 gau2,saam1 baak3 ji6 sap1 gau1
三百五十九,saam1 baak3 ng5 sap6 gau2,saam1 baak3 ng5 sap1 gau1
三百五十二,saam1 baak3 ng5 sap6 ji6,saam1 baak3 m5 sap6 ji6
三百八十九,saam1 baak3 baat3 sap6 gau2,saam1 baak3 baat3 sap1 gau1
三百六十九,saam1 baak3 luk6 sap6 gau2,saam1 baak3 luk6 sap1 gau1
三百四十九,saam1 baak3 sei3 sap6 gau2,saam1 baak3 sei3 sap1 gau1
三種,saam1 zung2,saam1 zung3
三粒,saam1 nap1,saam1 lap1
三縷,saam1 leoi5,saam1 lau5
三載,saam1 zoi2,saam1 zoi3
三轉,saam1 zyun2,saam1 zyun3
三門峽,saam1 mun4 haap6,saam1 mun4 hap6
三間,saam1 gaan1,saam1 haan4
三頂,saam1 deng2,saam1 ding2
上下堂,soeng5 haa5 tong4,soeng6 haa6 tong4
上下水,soeng5 haa5 seoi2,soeng6 haa6 seoi2
上下網,soeng5 haa5 mong5,soeng6 haa6 mong5
上了,soeng5 liu5,soeng6 liu5
上到,soeng5 dou2,soeng6 dou3
上到,soeng5 dou3,soeng6 dou3
上到庭,soeng5 dou2 ting4,soeng6 dou3 ting4
上咗,soeng5 zo2,soeng6 zo2
上咗位,soeng5 zo2 wai2,soeng6 zo2 wai6
上咗去,soeng5 zo2 heoi3,soeng6 zo2 heoi3
上咗岸,soeng5 zo2 ngon6,soeng6 zo2 ngon6
上咗車,soeng5 zo2 ce1,soeng6 zo2 ce1
上唔上水,soeng5 m4 soeng5 seoi2,soeng6 m4 soeng6 seoi2
上完堂,soeng5 jyun4 tong4,soeng6 jyun4 tong4
上山雞乙,soeng6 saan1 gai1 jyut3,soeng6 saan1 gai1 jyut6
上嶺皮,soeng6 leng5 pei4,soeng6 ling5 pei4
上得,soeng5 dak1,soeng6 dak1
上晒岸,soeng5 saai3 ngon6,soeng6 saai3 ngon6
上晒腦,soeng5 saai3 nou5,soeng6 saai3 nou5
上晒身,soeng5 saai3 san1,soeng6 saai3 san1
上機,soeng5 gei1,soeng6 gei1
上水中心購物商場,soeng6 seoi2 zung1 sam1 gau3 mat6 soeng1 coeng4,soeng6 seoi2 zung1 sam1 kau3 mat6 soeng1 coeng4
上水官立中學,soeng6 seoi2 gun1 lap6 zung1 hok6,soeng6 seoi2 gun1 laap6 zung1 hok6
上水惠州公立學校,soeng6 seoi2 wai6 zau1 gung1 lap6 hok6 haau6,soeng6 seoi2 wai6 zau1 gung1 laap6 hok6 haau6
上水華山,soeng6 seoi2 waa4 saan1,soeng6 seoi2 waa6 saan1
上神枱,soeng5 san4 toi2,soeng6 san4 toi2
上粧,soeng5 zong1,soeng6 zong1
上網揾,soeng5 mong5 wan2,soeng5 mong5 wan3
上緊位,soeng5 gan2 wai2,soeng6 gan2 wai6
上緊堂,soeng5 gan2 tong4,soeng6 gan2 tong4
上返,soeng5 faan1,soeng6 faan2
上連登,soeng5 lin4 dang1,soeng6 lin4 dang1
上過,soeng5 gwo3,soeng6 gwo3
上過去,soeng5 gwo3 heoi3,soeng6 gwo3 heoi3
上過堂,soeng5 gwo3 tong4,soeng6 gwo3 tong4
上錯車,soeng5 co3 ce1,soeng6 co3 ce1
上長沙泳灘,soeng6 coeng4 saa1 wing6 taan1,soeng6 zoeng6 saa1 wing6 taan1
下下次,haa6 haa5 ci3,haa6 haa6 ci3
下北村第一巷,haa6 bak1 cyun1 dai6 jat1 hong2,haa6 bak1 cyun1 dai6 jat1 hong6
下山雞乙,haa6 saan1 gai1 jyut3,haa6 saan1 gai1 jyut6
下嶺皮,haa6 leng5 pei4,haa6 ling5 pei4
下長沙泳灘,haa6 coeng4 saa1 wing6 taan1,haa6 zoeng6 saa1 wing6 taan1
不到,bat1 dou2,bat1 dou3
不失為,bat1 sat1 wai4,bat1 sat1 wai6
不應該,bat1 jing3 goi1,bat1 jing1 goi1
不會,but1 wui5,bat1 wui6
不為人知,bat1 wai4 jan4 zi1,bat1 wai6 jan4 zi1
不為已甚,bat1 wai4 ji5 sam6,bat1 wai6 ji5 sam6
不為意,bat1 wai4 ji3,bat1 wai6 ji3
不為所動,bat1 wai4 so2 dung6,bat1 wai6 so2 dung6
不為過,bat1 wai4 gwo3,bat1 wai6 gwo3
不為酒困,bat1 wai4 zau2 kwan3,bat1 wai6 zau2 kwan3
不為零,bat1 wai4 ling4,bat1 wai6 ling4
不知道,bat1 zi1 dou6,bat1 zi1 dou3
不足為奇,bat1 zuk1 wai4 kei4,bat1 zuk1 wai6 kei4
不足為怪,bat1 zuk1 wai4 gwaai3,bat1 zuk1 wai6 gwaai3
不足為慮,bat1 zuk1 wai4 leoi6,bat1 zuk1 wai6 leoi6
不足為憑,bat1 zuk1 wai4 pang4,bat1 zuk1 wai6 pang4
不足為訓,bat1 zuk1 wai4 fan3,bat1 zuk1 wai6 fan3
世上無難事只怕有心人,sai3 soeng5 mou4 naan4 si6 zi2 paa3 jau5 sam1 jan4,sai3 soeng6 mou4 naan4 si6 zi2 paa3 jau5 sam1 jan4
丘佐榮,jau1 zo2 wing4,jau1 zo3 wing4
丘佐榮中學,jau1 zo2 wing4 zung1 hok6,jau1 zo3 wing4 zung1 hok6
丘佐榮學校,jau1 zo2 wing4 hok6 haau6,jau1 zo3 wing4 hok6 haau6
丘應樺,jau1 jing3 waa4,jau1 jing1 waa4
並會,bing6 wui5,bing6 wui6
中咗,zung3 zo2,zung1 zo2
中咗伏,zung3 zo2 fuk6,zung1 zo2 fuk6
中咗招,zung3 zo2 ziu1,zung1 zo2 ziu1
中唔中,zung3 m4 zung3,zung1 m4 zung1
中央圖書館,zung1 joeng1 tou4 syu1 gun2,zung1 joeng1 tou5 syu1 gun2
中峽,zung1 haap6,zung1 hap6
中峽道,zung1 haap6 dou6,zung1 hap6 dou6
中晒伏,zung3 saai3 fuk6,zung1 saai3 fuk6
中興海傍街,zung1 hing1 hoi2 bong6 gaai1,zung1 hing1 hoi2 pong4 gaai1
中華傳道會,zung1 waa4 cyun4 dou6 wui2,zung1 waa4 cyun4 dou6 wui6
中華基督教會,zung1 waa4 gei1 duk1 gaau3 wui2,zung1 waa4 gei1 duk1 gaau3 wui6
中華基督教青年會中學,zung1 waa4 gei1 duk1 gaau3 cing1 nin4 wui2 zung1 hok6,zung1 waa4 gei1 duk1 gaau3 cing1 nin4 wui6 zung1 hok6
中華基督教青年會小學,zung1 waa4 gei1 duk1 gaau3 cing1 nin4 wui2 siu2 hok6,zung1 waa4 gei1 duk1 gaau3 cing1 nin4 wui6 siu2 hok6
中華聖潔會,zung1 waa4 sing3 git3 wui2,zung1 waa4 sing3 git3 wui6
中過伏,zung3 gwo3 fuk6,zung1 gwo3 fuk6
中過招,zung3 gwo3 ziu1,zung1 gwo3 ziu1
中醫藥管理委員會,zung1 ji1 joek6 gun2 lei5 wai2 jyun4 wui2,zung1 ji1 joek6 gun2 lei5 wai2 jyun4 wui6
么鳳士多,jiu1 fung2 si6 do1,jiu1 fung6 si6 do1
之後會,zi1 hau6 wui5,zi1 hau6 wui6
之處,zi1 cyu5,zi1 cyu3
乙丑,jyut3 cau2,jyut6 cau2
乙亥,jyut3 hoi6,jyut6 hoi6
乙巳,jyut3 zi6,jyut6 zi6
乙明邨,jyut3 ming4 cyun1,jyut6 ming4 cyun1
乙明邨街,jyut3 ming4 cyun1 gaai1,jyut6 ming4 cyun1 gaai1
乙未,jyut3 mei6,jyut6 mei6
乙酉,jyut3 jau5,jyut6 jau5
乜撚野,mat1 lan2 je5,mat1 nan2 je5
乜柒,mat1 cat6,mat1 cat1
九下,gau2 haa5,gau2 haa6
九啤,gau2 pe1,gau2 pei4
九幀,gau2 zing1,gau2 zing3
九打,gau2 daa1,gau2 daa2
九朵,gau2 doe2,gau2 do2
九棵,gau2 fo2,gau2 po1
九泡,gau2 paau1,gau2 pou5
九疊,gau2 daap6,gau2 dip6
九疋,gau2 pat1,gau2 ngaa5
九百一十九,gau2 baak3 jat1 sap6 gau2,gau2 baak3 jat1 sap1 gau1
九百七十九,gau2 baak3 cat1 sap6 gau2,gau2 baak3 cat1 sap1 gau1
九百二十九,gau2 baak3 ji6 sap6 gau2,gau2 baak3 ji6 sap1 gau1
九百五十九,gau2 baak3 ng5 sap6 gau2,gau2 baak3 ng5 sap1 gau1
九百五十二,gau2 baak3 ng5 sap6 ji6,gau2 baak3 m5 sap6 ji6
九百八十九,gau2 baak3 baat3 sap6 gau2,gau2 baak3 baat3 sap1 gau1
九百六十九,gau2 baak3 luk6 sap6 gau2,gau2 baak3 luk6 sap1 gau1
九百四十九,gau2 baak3 sei3 sap6 gau2,gau2 baak3 sei3 sap1 gau1
九種,gau2 zung2,gau2 zung3
九粒,gau2 nap1,gau2 lap1
九縷,gau2 leoi5,gau2 lau5
九華,gau2 waa2,gau2 waa4
九行,gau2 hong4,gau2 hong6
九載,gau2 zoi2,gau2 zoi3
九間,gau2 gaan1,gau2 haan4
九頂,gau2 deng2,gau2 ding2
九龍塘官立小學,gau2 lung4 tong4 gun1 lap6 siu2 hok6,gau2 lung4 tong4 gun1 laap6 siu2 hok6
九龍婦女福利會,gau2 lung4 fu5 neoi5 fuk1 lei6 wui2,gau2 lung4 fu5 neoi5 fuk1 lei6 wui6
也會,jaa5 wui5,jaa5 wui6
乾唔乾淨,gon1 m4 gon1 zeng6,gon1 m4 gon1 zing6
乾坑,kin4 haang1,gon1 haang1
乾秀里,kin4 sau3 lei5,gon1 sau3 lei5
乾門咀,kin4 mun4 zeoi2,gon1 mun4 zeoi2
乾隆,kin4 lung4,gon1 lung4
亂咁嚟,lyun2 gam3 lai4,lyun6 gam3 lai4
亂噏無為,lyun2 ngap1 mou4 wai4,lyun6 ngap1 mou4 wai6
亂講也,lyun2 gong2 jaa5,lyun6 gong2 jaa5
亂講無為,lyun6 gong2 mou4 wai4,lyun6 gong2 mou4 wai6
了哥岩,liu5 go1 ngaam4,liu1 go1 ngaam4
了番出嚟,liu1 faan1 ceot1 lai4,liu5 faan1 ceot1 lai4
了番出嚟,liu1 faan1 cet1 lai4,liu5 faan1 ceot1 lai4
事在人為,si6 zoi6 jan4 wai4,si6 zoi6 jan4 wai6
二嶺,ji6 leng5,ji6 ling5
二百一十九,ji6 baak3 jat1 sap6 gau2,ji6 baak3 jat1 sap1 gau1
二百七十九,ji6 baak3 cat1 sap6 gau2,ji6 baak3 cat1 sap1 gau1
二百五十九,ji6 baak3 ng5 sap6 gau2,ji6 baak3 ng5 sap1 gau1
二百五十二,ji6 baak3 ng5 sap6 ji6,ji6 baak3 m5 sap6 ji6
二百八十九,ji6 baak3 baat3 sap6 gau2,ji6 baak3 baat3 sap1 gau1
二百六十九,ji6 baak3 luk6 sap6 gau2,ji6 baak3 luk6 sap1 gau1
二百四十九,ji6 baak3 sei3 sap6 gau2,ji6 baak3 sei3 sap1 gau1
二轉,ji6 zyun2,ji6 zyun3
互為因果,wu6 wai4 jan1 gwo2,wu6 wai6 jan1 gwo2
五下,ng5 haa5,ng5 haa6
五六下,ng5 luk6 haa5,ng5 luk6 haa6
五六啤,ng5 luk6 pe1,ng5 luk6 pei4
五六幀,ng5 luk6 zing1,ng5 luk6 zing3
五六打,ng5 luk6 daa1,ng5 luk6 daa2
五六朵,ng5 luk6 doe2,ng5 luk6 do2
五六棵,ng5 luk6 fo2,ng5 luk6 po1
五六泡,ng5 luk6 paau1,ng5 luk6 pou5
五六疊,ng5 luk6 daap6,ng5 luk6 dip6
五六疋,ng5 luk6 pat1,ng5 luk6 ngaa5
五六種,ng5 luk6 zung2,ng5 luk6 zung3
五六粒,ng5 luk6 nap1,ng5 luk6 lap1
五六縷,ng5 luk6 leoi5,ng5 luk6 lau5
五六行,ng5 luk6 hong4,ng5 luk6 hong6
五六載,ng5 luk6 zoi2,ng5 luk6 zoi3
五六間,ng5 luk6 gaan1,ng5 luk6 haan4
五六頂,ng5 luk6 deng2,ng5 luk6 ding2
五十九,ng5 sap6 gau2,ng5 sap1 gau1
五十九萬,ng5 sap6 gau2 maan6,ng5 sap1 gau1 maan6
五十二,ng5 sap6 ji6,m5 sap6 ji6
五十二萬,ng5 sap6 ji6 maan6,m5 sap6 ji6 maan6
五啤,ng5 pe1,ng5 pei4
五幀,ng5 zing1,ng5 zing3
五打,ng5 daa1,ng5 daa2
五旬節,m5 ceon4 zit3,ng5 ceon4 zit3
五旬節聖潔會,ng5 ceon4 zit3 sing3 git3 wui2,ng5 ceon4 zit3 sing3 git3 wui6
五朵,ng5 doe2,ng5 do2
五棵,ng5 fo2,ng5 po1
五泡,ng5 paau1,ng5 pou5
五疊,ng5 daap6,ng5 dip6
五疋,ng5 pat1,ng5 ngaa5
五百一十九,ng5 baak3 jat1 sap6 gau2,ng5 baak3 jat1 sap1 gau1
五百七十九,ng5 baak3 cat1 sap6 gau2,ng5 baak3 cat1 sap1 gau1
五百五十九,ng5 baak3 ng5 sap6 gau2,ng5 baak3 ng5 sap1 gau1
五百八十九,ng5 baak3 baat3 sap6 gau2,ng5 baak3 baat3 sap1 gau1
五百六十九,ng5 baak3 luk6 sap6 gau2,ng5 baak3 luk6 sap1 gau1
五百四十九,ng5 baak3 sei3 sap6 gau2,ng5 baak3 sei3 sap1 gau1
五種,ng5 zung2,ng5 zung3
五粒,ng5 nap1,ng5 lap1
五縷,ng5 leoi5,ng5 lau5
五育,m5 juk6,ng5 juk6
五載,ng5 zoi2,ng5 zoi3
五邑工商總會學校,ng5 jap1 gung1 soeng1 zung2 wui2 hok6 haau6,ng5 jap1 gung1 soeng1 zung2 wui6 hok6 haau6
五間,ng5 gaan1,ng5 haan4
五頂,ng5 deng2,ng5 ding2
五鼓嶺,ng5 gu2 leng5,ng5 gu2 ling5
亞厘架巷,aa3 lei4 gaa3 hong2,aa3 lei4 gaa3 hong6
亞參雞飯,aa3 sam1 gai1 faan6,aa3 caam1 gai1 faan6
交易廣場,gaau1 ji6 gwong2 coeng4,gaau1 jik6 gwong2 coeng4
交行,gaau1 hong2,gaau1 hong6
亦會,jik6 wui5,jik6 wui6
人不可以貌相,jan4 bat1 ho2 ji5 maau6 soeng3,jan4 bat1 ho2 ji5 maau6 soeng1
